"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"WDR60",1.17716086358572e-11,0.0696271929824561,-5.20113987210785,0.375,0.912,1.39105099249925e-07
"FSCN1",1.23834118462059e-11,0.862116228070175,3.95959448700793,0.781,0.07,1.46334777786615e-07
"FBXW4",1.28366120482925e-11,0.893640350877193,1.92334496511025,0.906,0.175,1.51690244574672e-07
"LYSMD2",1.48399633196838e-11,0.0671600877192982,-3.16346180335908,0.781,0.965,1.75363846548703e-07
"TMCC2",1.62819906687282e-11,0.0789473684210526,-5.18385706067241,0.156,0.895,1.92404283732361e-07
"NPTXR",1.6401222357585e-11,0.877741228070175,4.88529171212456,0.812,0.14,1.93813244599582e-07
"SVIL",1.78266631583192e-11,0.888706140350877,3.18812623181971,0.875,0.175,2.10657678541858e-07
"STK38L",2.02103442067303e-11,0.895010964912281,4.02325840481883,0.906,0.211,2.38825637490932e-07
"RPL37",2.20012381039771e-11,0.929276315789474,1.365947216345,1,0.895,2.59988630674698e-07
"TMSB15B",2.30687832297527e-11,0.824835526315789,6.73978060977326,0.656,0.018,2.72603811425988e-07
"LYPD6B",2.56534926983129e-11,0.834429824561403,6.39604814456755,0.688,0.035,3.03147323215963e-07
"PDIA4",2.67828918047667e-11,0.925986842105263,2.29823341383994,1,0.702,3.16493432456928e-07
"TMEM100",2.68460723681184e-11,0.8125,11.687758397425,0.625,0,3.17240037174055e-07
"ZC3H12C",2.68557774067698e-11,0.8125,11.5289881851206,0.625,0,3.17354721615798e-07
"CDKN1C",3.12904724319159e-11,0.850877192982456,4.69087100929231,0.75,0.07,3.69759512727951e-07
"AKR1B10L1",3.51562959380152e-11,0.920230263157895,2.37331153391578,0.969,0.579,4.15441949099526e-07
"NR3C1",3.53995603841885e-11,0.821820175438597,6.02013449180708,0.656,0.018,4.18316605059956e-07
"PFN2",3.57597028655274e-11,0.924616228070175,2.05995298008155,0.969,0.877,4.22572408761937e-07
"LZTR1",3.70660946682322e-11,0.896107456140351,3.02188054753014,0.906,0.263,4.380100406945e-07
"FGFRL1",3.85771089027491e-11,0.831414473684211,6.75175325143934,0.688,0.035,4.55865695903786e-07
"OCM",4.09726630022316e-11,0.0764802631578947,-1.84364611013399,0.938,1,4.8417395869737e-07
"NFIA",4.66878222660331e-11,0.921600877192982,1.98635554568828,1,0.772,5.51709995717713e-07
"KCNH7",5.00566693607615e-11,0.891447368421053,2.98949966864182,0.938,0.228,5.91519661836119e-07
"SATB1",5.57164818684198e-11,0.818530701754386,5.61782223064796,0.656,0.018,6.58401666239117e-07
"NREP",6.12105958822792e-11,0.91968201754386,2.06281726733237,0.969,0.965,7.23325611540894e-07
"B3GNTL",6.30032150234436e-11,0.0814144736842105,-3.25875040837215,0.625,0.965,7.44508991932034e-07
"PLOD2",6.48897556247781e-11,0.872258771929825,2.50177499843099,0.875,0.14,7.66802242218003e-07
"KCNK3",8.16597606085924e-11,0.834978070175439,4.04905048178968,0.719,0.053,9.64973391111736e-07
"TMEM63C",8.28115044316633e-11,0.820723684210526,8.45127551642335,0.656,0.035,9.78583547868966e-07
"CCND2",8.34884056636796e-11,0.839089912280702,5.15608864637851,0.719,0.07,9.86582489727702e-07
"TTC8",9.63645518626121e-11,0.897478070175439,2.08307754044293,0.938,0.351,1.13873990936049e-06
