"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"HBP1",0.382195962045512,0.538217905405405,1.11147250966904,0.23,0.156,1
"BPGM",0.382393712064509,0.543285472972973,2.00863891827387,0.297,0.281,1
"C1H12orf50",0.38272658545181,0.466427364864865,-1.83362194860959,0.135,0.188,1
"BBS12",0.384086088390969,0.453969594594595,0.769641738933806,0.338,0.406,1
"SMAD7",0.384102363672292,0.546030405405405,1.05308620396577,0.378,0.312,1
"FBXO25",0.384486612917222,0.46410472972973,-1.43970790473837,0.162,0.219,1
"NARS2",0.384615578053871,0.470439189189189,-0.340037475439094,0.095,0.156,1
"PICALM",0.384685225430926,0.548986486486487,0.564805291520566,0.473,0.406,1
"PBX4",0.384819514752911,0.461993243243243,-1.02415026302772,0.189,0.25,1
"CACHD1",0.385014960285241,0.467483108108108,0.621360529252643,0.122,0.188,1
"OCIAD1",0.385185845598212,0.449746621621622,-0.466167851223299,0.5,0.531,1
"PDE7A",0.385422186524871,0.544341216216216,1.64202410966096,0.338,0.281,1
"ZFYVE28",0.385899443316512,0.536528716216216,4.42367641755272,0.203,0.156,1
"FBXL4",0.386463275986735,0.542440878378378,1.30640735306127,0.297,0.25,1
"CFAP97",0.387075012847243,0.457136824324324,-0.568474377932588,0.27,0.344,1
"CCDC134",0.387600544828302,0.455447635135135,0.620117408179555,0.297,0.406,1
"TCP11L2",0.387641053628381,0.45629222972973,-0.742327355201652,0.284,0.375,1
"STARD3",0.387726645861168,0.461570945945946,-0.385991190142915,0.189,0.281,1
"FAM98A",0.387810414874087,0.469594594594595,-2.18457869698992,0.108,0.156,1
"CNPY3",0.38786173166325,0.44847972972973,0.402945392624178,0.541,0.75,1
"TBCB",0.3879436036459,0.541807432432432,3.03155473387485,0.284,0.25,1
"SNX19",0.388040839217868,0.470650337837838,-0.450979953922113,0.095,0.156,1
"HIST1H2B7L2",0.388044788986345,0.470650337837838,-0.981501418950601,0.095,0.156,1
"RNF24",0.388271336563864,0.465160472972973,-0.620767778865076,0.149,0.219,1
"NBEA",0.389089735143548,0.549831081081081,1.49499198685094,0.527,0.469,1
"CHD9",0.389210321053132,0.450168918918919,-0.626949027098833,0.5,0.531,1
"APMAP",0.389316245619788,0.549408783783784,-0.417625836428225,0.541,0.375,1
"ZHX3",0.389440544888874,0.452280405405405,0.647746033972026,0.365,0.562,1
"MFSD9",0.38962583626254,0.536951013513513,1.67435361686653,0.216,0.156,1
"MAPKAP1",0.390013477196117,0.456081081081081,-0.274708657685801,0.297,0.375,1
"ULK4",0.390212853013546,0.538851351351351,1.42814063744781,0.243,0.188,1
"KIAA1107",0.391134076765879,0.469805743243243,-2.30531338103647,0.108,0.156,1
"FAHD1",0.391271253801597,0.467905405405405,-0.464243777367835,0.122,0.188,1
"IBTK",0.39132220650025,0.455025337837838,-0.329870116016167,0.324,0.406,1
"NIPA2",0.391688575265396,0.551731418918919,0.738917138148437,0.689,0.594,1
"CDS2",0.39179668117186,0.457559121621622,-0.483264255115142,0.27,0.344,1
"WDR59",0.39179668117186,0.542440878378378,0.847357555761908,0.311,0.25,1
"ING4",0.392637470801466,0.452069256756757,-0.547052110151879,0.432,0.469,1
"PANK2",0.393257867562329,0.451646959459459,-0.353540066741052,0.432,0.531,1
"FAM219B",0.393990894487378,0.543918918918919,0.514336839789523,0.351,0.281,1
"LYRM9",0.394046079813199,0.544341216216216,0.42298784525909,0.365,0.281,1
"DCAKD",0.394110257731893,0.539695945945946,2.02862636185829,0.257,0.219,1
"GGCT",0.394753201307579,0.449746621621622,0.314878305502581,0.514,0.688,1
