"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"PIH1D2",0.634019637841391,0.475859247135843,-0.618659668830047,0.41,0.468,1
"MHCIA9",0.634288768540161,0.475450081833061,-0.641398446350871,0.487,0.489,1
"TCTE3",0.634933881766175,0.486361156573923,-0.617849118595294,0.077,0.106,1
"DEDD",0.63520544975296,0.477223131478451,-0.819939257657594,0.359,0.372,1
"LOC107057377",0.635225314560799,0.521549372613202,0.340414980818186,0.333,0.298,1
"FEN1",0.635635274402055,0.479405346426623,-0.854242988980194,0.256,0.277,1
"DAPK1",0.635640118630754,0.515684669939989,0.945242192329522,0.154,0.128,1
"EYA4",0.635767698454824,0.526186579378069,-0.564318996908465,0.821,0.809,1
"LBH",0.636879961353663,0.481042007637752,-0.954875896800437,0.205,0.223,1
"SNCAIP",0.63728857140954,0.475995635570104,-0.677354692499672,0.41,0.479,1
"LOC431250",0.637785961621998,0.512547735951991,-0.747886880543553,0.103,0.074,1
"SLC9A8",0.637808027081528,0.475450081833061,-0.572522053767987,0.487,0.521,1
"HIVEP1",0.63818631977537,0.521003818876159,1.59406603123635,0.308,0.287,1
"CDKN2AIP",0.638521591044651,0.523186033824332,-0.609122278988917,0.462,0.383,1
"CCDC92",0.639099119095471,0.525231860338243,-0.411691225777984,0.667,0.585,1
"CBR1",0.639139569787554,0.475859247135843,-0.454385998592213,0.462,0.489,1
"MPP7",0.639171217652533,0.477905073649754,-0.365742342332759,0.308,0.362,1
"HERC4L",0.639321882898648,0.518821603927987,1.05463302822001,0.231,0.213,1
"TOMM40L",0.639348111035674,0.513911620294599,-1.39823802809774,0.128,0.096,1
"ABHD11",0.639363169765515,0.513911620294599,-0.824325253107755,0.128,0.096,1
"ASTN1",0.639738403440038,0.480496453900709,-2.23580756320235,0.231,0.245,1
"TAF11",0.639784770342373,0.485270049099836,-1.22179971969675,0.103,0.128,1
"DTX2",0.639788781131809,0.485270049099836,-1.53522100519188,0.103,0.128,1
"CEBPZ",0.639955825793727,0.525368248772504,-1.08310281816059,0.769,0.596,1
"PPP2R3B",0.640337050101575,0.516503000545554,4.32978286821305,0.179,0.149,1
"LOC107052159",0.640429479440689,0.519230769230769,0.62162012370229,0.256,0.223,1
