"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"RABGGTB",1.66177585692432e-05,0.651003856624319,0.765734704755785,0.469,0.162,0.196372053012747
"ATP8B1",1.66349956286408e-05,0.303992740471869,-11.7455965499858,0,0.392,0.196575743343649
"EXOC5",1.66414431293825e-05,0.67902109800363,0.43974720002841,0.625,0.26,0.196651933459913
"TP63",1.66533575804324e-05,0.664842332123412,1.08836792726202,0.531,0.205,0.196792726527969
"ATG4B",1.66837374289375e-05,0.658773820326679,0.827923761271393,0.5,0.185,0.197151725197754
"VRK1",1.68351315949346e-05,0.63739224137931,0.758965097221999,0.406,0.127,0.198940750057342
"MED17",1.6843494561046e-05,0.685032894736842,0.661362513993891,0.688,0.287,0.19903957522788
"UBAP1",1.68749593919265e-05,0.66472890199637,1.49641907835452,0.5,0.207,0.199411395134395
"RPL35A",1.68933617442529e-05,0.716396324863884,0.575665153679044,0.938,0.541,0.199628855731836
"MAPK15",1.69922452532778e-05,0.605660163339383,1.26202771048844,0.281,0.067,0.200797362157983
"ZNF207",1.70180607571543e-05,0.718352994555354,0.510635048787245,1,0.572,0.201102423967293
"UCHL5",1.71721631068618e-05,0.703323502722323,0.793816522909987,0.812,0.403,0.202923451433786
"GDI2",1.71779983884619e-05,0.719799228675136,0.757927575756336,0.969,0.604,0.202992406956454
"RPL10A",1.72684684795872e-05,0.721132032667877,0.605511104505767,0.938,0.639,0.204061492023282
"SDHA",1.73078045406725e-05,0.709505444646098,0.541837894324091,0.906,0.457,0.204526326257127
"TTC26",1.73295928414852e-05,0.664984119782214,1.41605786368142,0.531,0.207,0.204783798607831
"CDC16",1.7642749254507e-05,0.6224194646098,1.4817453427087,0.344,0.096,0.208484367940509
"TRMT1L",1.79010148880089e-05,0.688974591651543,0.835850938641452,0.688,0.312,0.211536292931601
"POLR1B",1.8137392453998e-05,0.682253856624319,0.784431326342847,0.625,0.279,0.214329566628894
"ID4",1.82807306630688e-05,0.280909709618875,-4.0685178851061,0.406,0.637,0.216023394245484
"ATF4",1.83393552077825e-05,0.722039473684211,0.609999566340225,0.969,0.684,0.216716160490365
"SPICE1",1.83490575584824e-05,0.697822141560799,0.692305667932084,0.75,0.368,0.216830813168587
