"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NOL7.5",0.00278496220566431,0.634476534296029,0.288458599606915,0.586,0.292,1,"7","NOL7"
"NR0B1.5",0.00278550443279463,0.601051910867671,1.45929456500675,0.345,0.135,1,"7","NR0B1"
"CAST.7",0.00278861384809457,0.65458110295033,0.601679732425765,0.793,0.495,1,"7","CAST"
"KATNA1.1",0.00278965346625009,0.579951450267646,0.642435207047666,0.241,0.078,1,"7","KATNA1"
"NOB1.4",0.00279033704946031,0.606311465206025,0.53975165003683,0.379,0.153,1,"7","NOB1"
"RBP1.1",0.00280605307396025,0.553124610979709,0.982032164291586,0.138,0.031,1,"7","RBP1"
"MYT1.6",0.00281478238169572,0.632017926055023,1.24689611266686,0.517,0.28,1,"7","MYT1"
"TP53I11.1",0.00283392089469989,0.588572139922818,0.52003128992808,0.276,0.099,1,"7","TP53I11"
"NOL6",0.00284474247015268,0.581227436823105,1.20981759910954,0.241,0.081,1,"7","NOL6"
"COQ2.5",0.00285476263456055,0.635596912734968,0.52056748144624,0.586,0.303,1,"7","COQ2"
"MED21.3",0.00285878991344937,0.635814764098095,1.29581175300554,0.586,0.305,1,"7","MED21"
"PEPD.4",0.00285882146673557,0.652589319058882,0.440510544523124,0.759,0.471,1,"7","PEPD"
"ANAPC2.3",0.0028860463237175,0.59597908626914,1.48252190891261,0.31,0.121,1,"7","ANAPC2"
"BAG5.5",0.00290632675076586,0.627131831196315,0.597806311758453,0.517,0.251,1,"7","BAG5"
"GTF2B.6",0.00293245039227932,0.657164197684551,0.619129818988078,0.793,0.56,1,"7","GTF2B"
"PCNP.2",0.00293789820232119,0.642225818498693,0.277297568552195,0.655,0.359,1,"7","PCNP"
"DISP3.4",0.00295521977646106,0.372214614714304,-8.04973062118907,0.034,0.282,1,"7","DISP3"
"RPS7.2",0.00296811279438551,0.659093738329391,0.504419090893472,0.828,0.612,1,"7","RPS7"
"IFT80.2",0.00297047786645031,0.638428980455621,2.96277863255743,0.586,0.33,1,"7","IFT80"
"ZFYVE1",0.00298249808373533,0.573291422880617,0.851545164896287,0.207,0.065,1,"7","ZFYVE1"
"HHLA2.2",0.00299346865586584,0.588074193949956,0.903075535035791,0.276,0.099,1,"7","HHLA2"
"PKNOX2",0.0030052393575202,0.552751151500062,1.5121009241814,0.138,0.031,1,"7","PKNOX2"
"UST.4",0.00300914698913769,0.379963898916968,-10.3861776659778,0,0.24,1,"7","UST"
"GLOD4.4",0.00301063432435847,0.639082534545002,0.582990049632287,0.621,0.336,1,"7","GLOD4"
"MRPL14.3",0.00301637549980162,0.653865305614341,0.794975577221464,0.793,0.504,1,"7","MRPL14"
"CNTNAP2.6",0.00302069078245057,0.609797087016059,-0.365972207954969,0.414,0.17,1,"7","CNTNAP2"
"HLCS.4",0.00302267729918402,0.63432092617951,0.841676211636824,0.586,0.3,1,"7","HLCS"
"ATP5H.4",0.00302650840478992,0.661707954686916,0.995639042941023,0.897,0.727,1,"7","ATP5H"
"LOC101747821.2",0.00302927446883699,0.645804805178638,0.797015787452271,0.655,0.401,1,"7","LOC101747821"
"MYL12A.2",0.00304217302856131,0.661707954686916,0.603139355330535,0.862,0.735,1,"7","MYL12A"
"TRAM1.3",0.00304219484174775,0.628812398854724,0.556620008260533,0.552,0.264,1,"7","TRAM1"
"PKN2.2",0.00307125019308648,0.609610357276236,0.958739107949861,0.379,0.171,1,"7","PKN2"
"BORCS7.3",0.00307422978983223,0.646209386281588,0.984026268370487,0.655,0.408,1,"7","BORCS7"
"MGME1.2",0.00311292751211062,0.593582721274742,0.326534245334997,0.31,0.116,1,"7","MGME1"
"ATPAF2",0.00311409559736069,0.579048923191834,0.32744468884762,0.241,0.078,1,"7","ATPAF2"
"HSPA8.5",0.003144649009388,0.662548238516121,0.45973865563303,1,0.931,1,"7","HSPA8"
"ST13.5",0.0031563348771047,0.649010332378937,0.335392452662846,0.759,0.442,1,"7","ST13"
"TBX3.6",0.00316140951490651,0.370627411925806,-3.25599148284576,0.034,0.298,1,"7","TBX3"
"PADIL.3",0.00316540465645428,0.346010207892444,-2.1716259183844,0.31,0.545,1,"7","PADIL"
"MFSD11.2",0.00317335820419293,0.578893315075314,0.477301505449947,0.241,0.078,1,"7","MFSD11"
"KLF11.1",0.00317463512830272,0.581694261172663,2.39516422758703,0.241,0.085,1,"7","KLF11"
"SH3PXD2A.5",0.00319963369477309,0.637993277729366,0.30857470195166,0.586,0.336,1,"7","SH3PXD2A"
"ZFAND4.4",0.0032053525992685,0.639985061620814,0.339716284523939,0.655,0.35,1,"7","ZFAND4"
"GNL2.2",0.00321478870542932,0.62492219594174,0.478189317121956,0.483,0.247,1,"7","GNL2"
"PSMD13.1",0.00323765932161628,0.625420141914602,0.258608681421634,0.517,0.249,1,"7","PSMD13"
