"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"SCGN",7.49949401712219e-21,0.600914404223228,6.74476739734058,0.205,0.004,8.86215208003329e-17
"MBD3",1.00961548704579e-20,0.622643288084465,2.43552164080044,0.256,0.009,1.193062621042e-16
"DLL1",1.38564021895161e-20,0.819758672699849,2.02143150744359,0.821,0.171,1.63741104673511e-16
"DAW1",1.55969111613008e-20,0.871794871794872,2.04353013951471,1,0.281,1.84308699193091e-16
"GRIN1",1.65238309568263e-20,0.667515082956259,4.57340921057996,0.359,0.028,1.95262110416816e-16
"EPB41",1.97769022932852e-20,0.835878582202112,2.71424584330626,0.821,0.206,2.33703654399752e-16
"RSPH1",2.86066263979144e-20,0.883272058823529,1.97576887249993,1,0.327,3.38044504144155e-16
"LOC101750583",2.87656255417304e-20,0.785327111613876,2.11692312880336,0.692,0.127,3.39923397026628e-16
"CSRNP3",4.22083675348709e-20,0.848746229260935,2.46628705445437,0.897,0.237,4.98776279159569e-16
"LZTR1",5.69736141473764e-20,0.843019419306184,2.23905525223797,0.872,0.228,6.73257198379547e-16
"TRPM1",7.29594238409331e-20,0.611778846153846,6.80206062238809,0.231,0.007,8.62161511528306e-16
"CCDC3",8.55859385169155e-20,0.611566742081448,4.47016435840949,0.231,0.007,1.01136903545439e-15
"ADPRHL1",8.65504744106508e-20,0.841322586726998,2.19241798586617,0.897,0.226,1.02276695611066e-15
"NAALADL2",4.88899174309599e-19,0.675810708898944,3.72801371236767,0.385,0.037,5.77732154281653e-15
"HS3ST3B1",5.61804353468581e-19,0.703195701357466,3.44970960692698,0.462,0.055,6.63884204493823e-15
"MCF2L2",6.46541804837491e-19,0.732513197586727,2.80979367964816,0.538,0.081,7.64018450776463e-15
"CLN6",7.78800007544382e-19,0.909620098039216,2.22813081582042,1,0.561,9.20307968915196e-15
"UBE2T",9.6566976517633e-19,0.810261123680241,1.1740635096695,0.846,0.182,1.14113196150887e-14
"LMO1",9.79459521750758e-19,0.791030354449472,1.52502280449018,0.744,0.153,1.15742731685287e-14
"EML5",1.06978804849442e-18,0.816765648567119,2.82525361344212,0.795,0.2,1.26416853690585e-14
"KCNB2",1.17150196082607e-18,0.843042986425339,1.94864946016251,0.923,0.257,1.38436386710816e-14
"OAZ1",1.30404157907278e-18,0.921686463046757,1.37308246046869,1,0.928,1.5409859339903e-14
"CRABP1",1.36372363665224e-18,0.862132352941177,1.99553901598118,0.974,0.316,1.61151222143195e-14
"ATP8B4",1.62303462236945e-18,0.750212104072398,1.27837039826779,0.615,0.101,1.91794001325397e-14
"NTM",1.62374719825678e-18,0.847285067873303,2.22333472021195,0.897,0.276,1.91878206418004e-14
"EFHC1",2.15054031815028e-18,0.802625377073906,2.12020254334157,0.769,0.178,2.54129349395819e-14
"RBM24",2.45712048359062e-18,0.892863876319759,1.83453560714916,1,0.474,2.90357927545904e-14
"ORMDL1",3.57899326293495e-18,0.888975301659125,1.99148885447129,1,0.461,4.22929633881023e-14
"CHRNA1",4.23541614432142e-18,0.842995852187029,1.98251641761139,0.897,0.276,5.00499125774462e-14
"LCP1",4.97809266607232e-18,0.672935520361991,2.86768211760556,0.385,0.039,5.88261210349766e-14
"ADH1L",7.10434766741533e-18,0.662848793363499,2.66618838914025,0.359,0.033,8.3952076385847e-14
"KCNK3",7.31947335348242e-18,0.709134615384615,3.09801641757278,0.487,0.066,8.64942166181017e-14
"DCHS2",7.54968528046819e-18,0.705575980392157,3.82881098779524,0.462,0.064,8.92146309592926e-14
"HVCN1",7.95117571260633e-18,0.77491044494721,2.61773040686139,0.667,0.143,9.3959043395869e-14
"RAVER2",8.00024942962667e-18,0.830010369532428,2.22370085649118,0.872,0.248,9.45389475098984e-14
"EFCAB1",8.30676338172205e-18,0.84572963800905,2.29508402930457,0.897,0.294,9.81610228818095e-14
"NREP",9.48339810974823e-18,0.898967760180995,2.32699542209465,1,0.586,1.12065315462895e-13
"CDCP2",1.03034121737094e-17,0.865502450980392,2.14938210221351,0.949,0.369,1.21755421656724e-13
"C15orf61",1.34484151833092e-17,0.848864064856712,2.56567809642696,0.872,0.314,1.58919922221165e-13
"HTATIP2",1.67721729569296e-17,0.721318815987934,3.27357270297971,0.513,0.081,1.98196767832038e-13
"COX6C",1.94619666025974e-17,0.906721342383107,2.01288280611336,1,0.884,2.29982059342893e-13
"AKR1B10L2",3.08994200381867e-17,0.599476809954751,7.05444778402238,0.205,0.007,3.65138446591252e-13
"PAX2",3.59918045630407e-17,0.830246040723982,1.57563203467653,0.897,0.267,4.25315154521452e-13
"KCNJ3",3.77697017544904e-17,0.57609822775264,7.63164549182916,0.154,0.002,4.46324565632813e-13
"CFAP126",4.62391153943573e-17,0.82909125188537,2.41163525895054,0.846,0.27,5.46407626615121e-13
"DYDC1",4.79813287383537e-17,0.795390271493213,2.1204570263052,0.769,0.189,5.66995361701126e-13
"IGSF21",5.27060267320968e-17,0.818297511312217,1.61669829618973,0.872,0.239,6.22827117893188e-13
"FXYD6",5.88599454200076e-17,0.689220399698341,3.7086960769506,0.436,0.055,6.95547975028229e-13
"OPCML",7.38017799423439e-17,0.792774321266968,1.74697306228388,0.769,0.188,8.72115633578678e-13
"KCNJ2",8.30509832286967e-17,0.788885746606335,2.19917322874736,0.744,0.182,9.81413468813509e-13
"TAGLN3",1.17991435757618e-16,0.67984068627451,2.83861985513835,0.41,0.05,1.39430479634777e-12
"C22H8ORF4",1.18630495418149e-16,0.774745475113122,2.46986691836968,0.692,0.16,1.40185656435627e-12
"HSPB9",1.38177825658801e-16,0.772223793363499,2.23836964944328,0.692,0.156,1.63284736581005e-12
"CIB3",2.35189506458429e-16,0.853271116138763,1.80329912617867,0.974,0.384,2.77923439781925e-12
"SOGA1",2.92370428011729e-16,0.785350678733032,1.72485987382046,0.769,0.184,3.4549413478146e-12
"GPC3",3.82547774036716e-16,0.759309012066365,1.87180260087303,0.667,0.142,4.52056704579188e-12
"MYO3B",4.26026838218352e-16,0.803450226244344,1.74825697055228,0.821,0.228,5.03435914722626e-12
"MORN5",4.897016396433e-16,0.830976621417798,1.87948143730682,0.949,0.307,5.78680427566488e-12
"CALM2",5.2896430401256e-16,0.887867647058823,1.46050985119063,1,0.873,6.25077118051642e-12
